Index,Input,Type
573,"Is Neil Armstrong the first person to walk on Mars?",Yes/No
574,"Is the speed of sound faster than the speed of light?",Yes/No
575,"Is the Empire State Building located in Chicago?",Yes/No
576,"Is the currency in China the yuan?",Yes/No
577,"Is a lion a type of herbivore?",Yes/No
578,"Is the Red Sea blue in color?",Yes/No
579,"Is a laptop a type of fruit?",Yes/No
580,"Is the longest river in the Americas the Amazon River?",Yes/No
581,"Is a zebra black in color?",Yes/No
582,"Is the currency in Russia the pound?",Yes/No
583,"Is the sun a planet?",Yes/No
584,"Is a dog a type of reptile?",Yes/No
585,"Is the Pacific Ocean larger than the Atlantic Ocean?",Yes/No
586,"Is a violin a string instrument?",Yes/No
587,"Is the shortest day of the year in December?",Yes/No
588,"Is a pineapple a type of berry?",Yes/No
589,"Is the currency in South Korea the won?",Yes/No
590,"Is the fastest land animal a cheetah?",Yes/No
591,"Is the currency in Mexico the euro?",Yes/No
592,"Is a whale a type of fish?",Yes/No
593,"Is the speed of light measured in meters?",Yes/No
594,"Is the Sahara Desert the largest desert in the world?",Yes/No
595,"Is a telescope used to measure temperature?",Yes/No
596,"Is a microscope used to see small objects?",Yes/No
597,"Is a penguin able to fly?",Yes/No
598,"Is the currency in Saudi Arabia the riyal?",Yes/No
599,"Is the Nile River the longest river in Europe?",Yes/No
600,"Is a tree a type of mammal?",Yes/No
601,"Is a chair a type of food?",Yes/No
602,"Is the Earth the only planet in the solar system?",Yes/No
603,"Is a rose a type of vegetable?",Yes/No
604,"Is a spider a type of insect?",Yes/No
605,"Is the largest desert in the world the Sahara Desert?",Yes/No
606,"Is the moon a natural satellite of the Earth?",Yes/No
607,"Is a pineapple a type of fruit?",Yes/No
608,"Is the fastest bird a peregrine falcon?",Yes/No
609,"Is a square also a rectangle?",Yes/No
610,"Is a microscope used to see distant objects?",Yes/No
611,"Is a kangaroo a type of bird?",Yes/No
612,"Is a diamond made of glass?",Yes/No
613,"Is a telescope used to observe the stars?",Yes/No
614,"Is a camel a type of mammal?",Yes/No
615,"Is the sun a planet?",Yes/No
616,"Is the currency in Egypt the euro?",Yes/No
617,"Is a turtle a type of amphibian?",Yes/No
618,"Is a whale a type of fish?",Yes/No
619,"Is a strawberry a type of citrus fruit?",Yes/No
620,"Is the longest river in the world the Amazon River?",Yes/No
621,"Is the currency in Japan the yen?",Yes/No
622,"Is a koala a type of bear?",Yes/No
623,"Is the capital of Brazil Buenos Aires?",Yes/No
624,"Is the Titanic a real ship?",Yes/No
625,"Is a violin a percussion instrument?",Yes/No
626,"Is a crocodile a mammal?",Yes/No
627,"Is Mount Rushmore located in Texas?",Yes/No
628,"Is the speed of light infinite?",Yes/No
629,"Is the tallest mountain on Earth K2?",Yes/No
630,"Is a tiger a type of domesticated cat?",Yes/No
631,"Is the Mona Lisa located in the Louvre Museum?",Yes/No
632,"Is the currency in Canada the dollar?",Yes/No
633,"Is the longest river in Asia the Ganges River?",Yes/No
634,"Is a chair a type of vehicle?",Yes/No
635,"Is the Eiffel Tower made of wood?",Yes/No
636,"Is the currency in Australia the euro?",Yes/No
637,"Is the Nile River the longest river in Africa?",Yes/No
638,"Is the largest ocean in the world the Indian Ocean?",Yes/No
639,"Is a caterpillar a type of insect?",Yes/No
640,"Is Neil Armstrong the first person to walk on Mars?",Yes/No
641,"Is the speed of sound faster than the speed of light?",Yes/No
642,"Is the Empire State Building located in Chicago?",Yes/No
643,"Is the currency in China the yuan?",Yes/No
644,"Is a lion a type of herbivore?",Yes/No
645,"Is the Red Sea blue in color?",Yes/No
646,"Is a laptop a type of fruit?",Yes/No
647,"Is the longest river in the Americas the Amazon River?",Yes/No
648,"Is a zebra black in color?",Yes/No
649,"Is the currency in Russia the pound?",Yes/No
650,"Is the sun a planet?",Yes/No
651,"Is a dog a type of reptile?",Yes/No
652,"Is the Pacific Ocean larger than the Atlantic Ocean?",Yes/No
653,"Is a violin a string instrument?",Yes/No
654,"Is the shortest day of the year in December?",Yes/No
655,"Is a pineapple a type of berry?",Yes/No
656,"Is the currency in South Korea the won?",Yes/No
657,"Is the fastest land animal a cheetah?",Yes/No
658,"Is the currency in Mexico the euro?",Yes/No
659,"Is a whale a type of fish?",Yes/No
660,"Is the speed of light measured in meters?",Yes/No
661,"Is the Sahara Desert the largest desert in the world?",Yes/No
662,"Is a telescope used to measure temperature?",Yes/No
663,"Is a microscope used to see small objects?",Yes/No
664,"Is a penguin able to fly?",Yes/No
665,"Is the currency in Saudi Arabia the riyal?",Yes/No
666,"Is the Nile River the longest river in Europe?",Yes/No
667,"Is a tree a type of mammal?",Yes/No
668,"Is a chair a type of food?",Yes/No
669,"Is the Earth the only planet in the solar system?",Yes/No
670,"Is a rose a type of vegetable?",Yes/No
671,"Is a spider a type of insect?",Yes/No
672,"Is the largest desert in the world the Sahara Desert?",Yes/No
673,"Is the moon a natural satellite of the Earth?",Yes/No
674,"Is a pineapple a type of fruit?",Yes/No
675,"Is the fastest bird a peregrine falcon?",Yes/No
676,"Is a square also a rectangle?",Yes/No
677,"Is a microscope used to see distant objects?",Yes/No
678,"Is a kangaroo a type of bird?",Yes/No
679,"Is a diamond made of glass?",Yes/No
680,"Is a telescope used to observe the stars?",Yes/No
681,"Is a camel a type of mammal?",Yes/No
682,"Is the sun a planet?",Yes/No
683,"Is the currency in Egypt the euro?",Yes/No
684,"Is a turtle a type of amphibian?",Yes/No
685,"Is a whale a type of fish?",Yes/No
686,"Is a strawberry a type of citrus fruit?",Yes/No
687,"Is the longest river in the world the Amazon River?",Yes/No
688,"Is the currency in Japan the yen?",Yes/No
689,"Is a koala a type of bear?",Yes/No
690,"Is the capital of Brazil Buenos Aires?",Yes/No
691,"Is the Titanic a real ship?",Yes/No
692,"Is a violin a percussion instrument?",Yes/No
693,"Is a crocodile a mammal?",Yes/No
694,"Is Mount Rushmore located in Texas?",Yes/No
695,"Is the speed of light infinite?",Yes/No
696,"Is the tallest mountain on Earth K2?",Yes/No
697,"Is a tiger a type of domesticated cat?",Yes/No
698,"Is the Mona Lisa located in the Louvre Museum?",Yes/No
699,"Is the currency in Canada the dollar?",Yes/No
700,"Is the longest river in Asia the Ganges River?",Yes/No
701,"Is a chair a type of vehicle?",Yes/No
702,"Is the Eiffel Tower made of wood?",Yes/No
703,"Is the currency in Australia the euro?",Yes/No
704,"Is the Nile River the longest river in Africa?",Yes/No
705,"Is the largest ocean in the world the Indian Ocean?",Yes/No
706,"Is a caterpillar a type of insect?",Yes/No
707,"Is Neil Armstrong the first person to walk on Mars?",Yes/No
708,"Is the speed of sound faster than the speed of light?",Yes/No
709,"Is the Empire State Building located in Chicago?",Yes/No
710,"Is the currency in China the yuan?",Yes/No
711,"Is a lion a type of herbivore?",Yes/No
712,"Is the Red Sea blue in color?",Yes/No
713,"Is a laptop a type of fruit?",Yes/No
714,"Is the longest river in the Americas the Amazon River?",Yes/No
715,"Is a zebra black in color?",Yes/No
716,"Is the currency in Russia the pound?",Yes/No
717,"Is the sun a planet?",Yes/No
718,"Is a dog a type of reptile?",Yes/No
719,"Is the Pacific Ocean larger than the Atlantic Ocean?",Yes/No
720,"Is a violin a string instrument?",Yes/No
721,"Is the shortest day of the year in December?",Yes/No
722,"Is a pineapple a type of berry?",Yes/No
723,"Is the currency in South Korea the won?",Yes/No
724,"Is the fastest land animal a cheetah?",Yes/No
725,"Is the currency in Mexico the euro?",Yes/No
726,"Is a whale a type of fish?",Yes/No
727,"Is the speed of light measured in meters?",Yes/No
728,"Is the Sahara Desert the largest desert in the world?",Yes/No
729,"Is a telescope used to measure temperature?",Yes/No
730,"Is a microscope used to see small objects?",Yes/No
731,"Is a penguin able to fly?",Yes/No
732,"Is the currency in Saudi Arabia the riyal?",Yes/No
733,"Is the Nile River the longest river in Europe?",Yes/No
734,"Is a tree a type of mammal?",Yes/No
735,"Is a chair a type of food?",Yes/No
736,"Is the Earth the only planet in the solar system?",Yes/No
737,"Is a rose a type of vegetable?",Yes/No
738,"Is a spider a type of insect?",Yes/No
739,"Is the largest desert in the world the Sahara Desert?",Yes/No
740,"Is the moon a natural satellite of the Earth?",Yes/No
741,"Is a pineapple a type of fruit?",Yes/No
742,"Is the fastest bird a peregrine falcon?",Yes/No
743,"Is a square also a rectangle?",Yes/No
744,"Is a microscope used to see distant objects?",Yes/No
745,"Is a kangaroo a type of bird?",Yes/No
746,"Is a diamond made of glass?",Yes/No
747,"Is a telescope used to observe the stars?",Yes/No
748,"Is a camel a type of mammal?",Yes/No
749,"Is the sun a planet?",Yes/No
750,"Is the currency in Egypt the euro?",Yes/No
751,"Is a turtle a type of amphibian?",Yes/No
752,"Is a whale a type of fish?",Yes/No
753,"Is a strawberry a type of citrus fruit?",Yes/No
754,"Is the longest river in the world the Amazon River?",Yes/No
755,"Is the currency in Japan the yen?",Yes/No
756,"Is a koala a type of bear?",Yes/No
757,"Is the capital of Brazil Buenos Aires?",Yes/No
758,"Is the Titanic a real ship?",Yes/No
759,"Is a violin a percussion instrument?",Yes/No
760,"Is a crocodile a mammal?",Yes/No
761,"Is Mount Rushmore located in Texas?",Yes/No
762,"Is the speed of light infinite?",Yes/No
763,"Is the tallest mountain on Earth K2?",Yes/No
764,"Is a tiger a type of domesticated cat?",Yes/No
765,"Is the Mona Lisa located in the Louvre Museum?",Yes/No
766,"Is the currency in Canada the dollar?",Yes/No
767,"Is the longest river in Asia the Ganges River?",Yes/No
768,"Is a chair a type of vehicle?",Yes/No
769,"Is the Eiffel Tower made of wood?",Yes/No
770,"Is the currency in Australia the euro?",Yes/No
771,"Is the Nile River the longest river in Africa?",Yes/No
772,"Is the largest ocean in the world the Indian Ocean?",Yes/No
773,"Is a caterpillar a type of insect?",Yes/No
774,"Is Neil Armstrong the first person to walk on Mars?",Yes/No
775,"Is the speed of sound faster than the speed of light?",Yes/No
776,"Is the Empire State Building located in Chicago?",Yes/No
777,"Is the currency in China the yuan?",Yes/No
778,"Is a lion a type of herbivore?",Yes/No
779,"Is the Red Sea blue in color?",Yes/No
780,"Is a laptop a type of fruit?",Yes/No
781,"Is the longest river in the Americas the Amazon River?",Yes/No
782,"Is a zebra black in color?",Yes/No
783,"Is the currency in Russia the pound?",Yes/No
784,"Is the sun a planet?",Yes/No
785,"Is a dog a type of reptile?",Yes/No
786,"Is the Pacific Ocean larger than the Atlantic Ocean?",Yes/No
787,"Is a violin a string instrument?",Yes/No
788,"Is the shortest day of the year in December?",Yes/No
789,"Is a pineapple a type of berry?",Yes/No
790,"Is the currency in South Korea the won?",Yes/No
791,"Is the fastest land animal a cheetah?",Yes/No
792,"Is the currency in Mexico the euro?",Yes/No
793,"Is a whale a type of fish?",Yes/No
794,"Is the speed of light measured in meters?",Yes/No
795,"Is the Sahara Desert the largest desert in the world?",Yes/No
796,"Is a telescope used to measure temperature?",Yes/No
797,"Is a microscope used to see small objects?",Yes/No
798,"Is a penguin able to fly?",Yes/No
799,"Is the currency in Saudi Arabia the riyal?",Yes/No
800,"Is the Nile River the longest river in Europe?",Yes/No
Index,Input,Type
801,"Is the Great Wall of China located in Europe?",Yes/No
802,"Is a rhinoceros a type of bird?",Yes/No
803,"Is the currency in India the rupee?",Yes/No
804,"Is the Statue of Liberty located in Paris?",Yes/No
805,"Is a giraffe a type of reptile?",Yes/No
806,"Is the currency in the United Kingdom the pound?",Yes/No
807,"Is Antarctica a country?",Yes/No
808,"Is a crocodile a type of mammal?",Yes/No
809,"Is the capital of Japan Tokyo?",Yes/No
810,"Is a bear a type of fish?",Yes/No
811,"Is the currency in Brazil the peso?",Yes/No
812,"Is the Amazon Rainforest located in Africa?",Yes/No
813,"Is a butterfly a type of bird?",Yes/No
814,"Is the tallest mountain on Earth Mount Everest?",Yes/No
815,"Is a dolphin a type of fish?",Yes/No
816,"Is the currency in Canada the dollar?",Yes/No
817,"Is the Sahara Desert in South America?",Yes/No
818,"Is a tortoise a type of insect?",Yes/No
819,"Is the currency in South Africa the rand?",Yes/No
820,"Is the Taj Mahal located in China?",Yes/No
821,"Is a penguin a type of reptile?",Yes/No
822,"Is the currency in Australia the euro?",Yes/No
823,"Is the Nile River the longest river in Asia?",Yes/No
824,"Is a kangaroo a type of bear?",Yes/No
825,"Is the capital of France Berlin?",Yes/No
826,"Is a parrot a type of fish?",Yes/No
827,"Is the currency in Russia the ruble?",Yes/No
828,"Is the Pacific Ocean the largest ocean on Earth?",Yes/No
829,"Is a lion a type of herbivore?",Yes/No
830,"Is the currency in China the yuan?",Yes/No
831,"Is the Statue of Liberty located in New York?",Yes/No
832,"Is a whale a type of reptile?",Yes/No
833,"Is the currency in Japan the yen?",Yes/No
834,"Is the Sahara Desert the largest desert on Earth?",Yes/No
835,"Is a rhinoceros a type of bird?",Yes/No
836,"Is the currency in India the rupee?",Yes/No
837,"Is the Statue of Liberty located in Paris?",Yes/No
838,"Is a giraffe a type of reptile?",Yes/No
839,"Is the currency in the United Kingdom the pound?",Yes/No
840,"Is Antarctica a country?",Yes/No
841,"Is a crocodile a type of mammal?",Yes/No
842,"Is the capital of Japan Tokyo?",Yes/No
843,"Is a bear a type of fish?",Yes/No
844,"Is the currency in Brazil the peso?",Yes/No
845,"Is the Amazon Rainforest located in Africa?",Yes/No
846,"Is a butterfly a type of bird?",Yes/No
847,"Is the tallest mountain on Earth Mount Everest?",Yes/No
848,"Is a dolphin a type of fish?",Yes/No
849,"Is the currency in Canada the dollar?",Yes/No
850,"Is the Sahara Desert in South America?",Yes/No
851,"Is a tortoise a type of insect?",Yes/No
852,"Is the currency in South Africa the rand?",Yes/No
853,"Is the Taj Mahal located in China?",Yes/No
854,"Is a penguin a type of reptile?",Yes/No
855,"Is the currency in Australia the euro?",Yes/No
856,"Is the Nile River the longest river in Asia?",Yes/No
857,"Is a kangaroo a type of bear?",Yes/No
858,"Is the capital of France Berlin?",Yes/No
859,"Is a parrot a type of fish?",Yes/No
860,"Is the currency in Russia the ruble?",Yes/No
861,"Is the Pacific Ocean the largest ocean on Earth?",Yes/No
862,"Is a lion a type of herbivore?",Yes/No
863,"Is the currency in China the yuan?",Yes/No
864,"Is the Statue of Liberty located in New York?",Yes/No
865,"Is a whale a type of reptile?",Yes/No
866,"Is the currency in Japan the yen?",Yes/No
867,"Is the Sahara Desert the largest desert on Earth?",Yes/No
868,"Is a rhinoceros a type of bird?",Yes/No
869,"Is the currency in India the rupee?",Yes/No
870,"Is the Statue of Liberty located in Paris?",Yes/No
871,"Is a giraffe a type of reptile?",Yes/No
872,"Is the currency in the United Kingdom the pound?",Yes/No
873,"Is Antarctica a country?",Yes/No
874,"Is a crocodile a type of mammal?",Yes/No
875,"Is the capital of Japan Tokyo?",Yes/No
876,"Is a bear a type of fish?",Yes/No
877,"Is the currency in Brazil the peso?",Yes/No
878,"Is the Amazon Rainforest located in Africa?",Yes/No
879,"Is a butterfly a type of bird?",Yes/No
880,"Is the tallest mountain on Earth Mount Everest?",Yes/No
881,"Is a dolphin a type of fish?",Yes/No
882,"Is the currency in Canada the dollar?",Yes/No
883,"Is the Sahara Desert in South America?",Yes/No
884,"Is a tortoise a type of insect?",Yes/No
885,"Is the currency in South Africa the rand?",Yes/No
886,"Is the Taj Mahal located in China?",Yes/No
887,"Is a penguin a type of reptile?",Yes/No
888,"Is the currency in Australia the euro?",Yes/No
889,"Is the Nile River the longest river in Asia?",Yes/No
890,"Is a kangaroo a type of bear?",Yes/No
891,"Is the capital of France Berlin?",Yes/No
892,"Is a parrot a type of fish?",Yes/No
893,"Is the currency in Russia the ruble?",Yes/No
894,"Is the Pacific Ocean the largest ocean on Earth?",Yes/No
895,"Is a lion a type of herbivore?",Yes/No
896,"Is the currency in China the yuan?",Yes/No
897,"Is the Statue of Liberty located in New York?",Yes/No
898,"Is a whale a type of reptile?",Yes/No
899,"Is the currency in Japan the yen?",Yes/No
900,"Is the Sahara Desert the largest desert on Earth?",Yes/No
901,"Is a rhinoceros a type of bird?",Yes/No
902,"Is the currency in India the rupee?",Yes/No
903,"Is the Statue of Liberty located in Paris?",Yes/No
904,"Is a giraffe a type of reptile?",Yes/No
905,"Is the currency in the United Kingdom the pound?",Yes/No
906,"Is Antarctica a country?",Yes/No
907,"Is a crocodile a type of mammal?",Yes/No
908,"Is the capital of Japan Tokyo?",Yes/No
909,"Is a bear a type of fish?",Yes/No
910,"Is the currency in Brazil the peso?",Yes/No
911,"Is the Amazon Rainforest located in Africa?",Yes/No
912,"Is a butterfly a type of bird?",Yes/No
913,"Is the tallest mountain on Earth Mount Everest?",Yes/No
914,"Is a dolphin a type of fish?",Yes/No
915,"Is the currency in Canada the dollar?",Yes/No
916,"Is the Sahara Desert in South America?",Yes/No
917,"Is a tortoise a type of insect?",Yes/No
918,"Is the currency in South Africa the rand?",Yes/No
919,"Is the Taj Mahal located in China?",Yes/No
920,"Is a penguin a type of reptile?",Yes/No
921,"Is the currency in Australia the euro?",Yes/No
922,"Is the Nile River the longest river in Asia?",Yes/No
923,"Is a kangaroo a type of bear?",Yes/No
924,"Is the capital of France Berlin?",Yes/No
925,"Is a parrot a type of fish?",Yes/No
926,"Is the currency in Russia the ruble?",Yes/No
927,"Is the Pacific Ocean the largest ocean on Earth?",Yes/No
928,"Is a lion a type of herbivore?",Yes/No
929,"Is the currency in China the yuan?",Yes/No
930,"Is the Statue of Liberty located in New York?",Yes/No
931,"Is a whale a type of reptile?",Yes/No
932,"Is the currency in Japan the yen?",Yes/No
933,"Is the Sahara Desert the largest desert on Earth?",Yes/No
934,"Is a rhinoceros a type of bird?",Yes/No
935,"Is the currency in India the rupee?",Yes/No
936,"Is the Statue of Liberty located in Paris?",Yes/No
937,"Is a giraffe a type of reptile?",Yes/No
938,"Is the currency in the United Kingdom the pound?",Yes/No
939,"Is Antarctica a country?",Yes/No
940,"Is a crocodile a type of mammal?",Yes/No
941,"Is the capital of Japan Tokyo?",Yes/No
942,"Is a bear a type of fish?",Yes/No
943,"Is the currency in Brazil the peso?",Yes/No
944,"Is the Amazon Rainforest located in Africa?",Yes/No
945,"Is a butterfly a type of bird?",Yes/No
946,"Is the tallest mountain on Earth Mount Everest?",Yes/No
947,"Is a dolphin a type of fish?",Yes/No
948,"Is the currency in Canada the dollar?",Yes/No
949,"Is the Sahara Desert in South America?",Yes/No
950,"Is a tortoise a type of insect?",Yes/No
951,"Is the currency in South Africa the rand?",Yes/No
952,"Is the Taj Mahal located in China?",Yes/No
953,"Is a penguin a type of reptile?",Yes/No
954,"Is the currency in Australia the euro?",Yes/No
955,"Is the Nile River the longest river in Asia?",Yes/No
956,"Is a kangaroo a type of bear?",Yes/No
957,"Is the capital of France Berlin?",Yes/No
958,"Is a parrot a type of fish?",Yes/No
959,"Is the currency in Russia the ruble?",Yes/No
960,"Is the Pacific Ocean the largest ocean on Earth?",Yes/No
961,"Is a lion a type of herbivore?",Yes/No
962,"Is the currency in China the yuan?",Yes/No
963,"Is the Statue of Liberty located in New York?",Yes/No
964,"Is a whale a type of reptile?",Yes/No
965,"Is the currency in Japan the yen?",Yes/No
966,"Is the Sahara Desert the largest desert on Earth?",Yes/No
967,"Is a rhinoceros a type of bird?",Yes/No
968,"Is the currency in India the rupee?",Yes/No
969,"Is the Statue of Liberty located in Paris?",Yes/No
970,"Is a giraffe a type of reptile?",Yes/No
971,"Is the currency in the United Kingdom the pound?",Yes/No
972,"Is Antarctica a country?",Yes/No
973,"Is a crocodile a type of mammal?",Yes/No
974,"Is the capital of Japan Tokyo?",Yes/No
975,"Is a bear a type of fish?",Yes/No
976,"Is the currency in Brazil the peso?",Yes/No
977,"Is the Amazon Rainforest located in Africa?",Yes/No
978,"Is a butterfly a type of bird?",Yes/No
979,"Is the tallest mountain on Earth Mount Everest?",Yes/No
980,"Is the moon larger than Earth?",Yes/No
981,"Is water a type of gas?",Yes/No
982,"Is the Amazon River the longest river in the world?",Yes/No
983,"Is New York the capital of the United States?",Yes/No
984,"Is the Great Wall of China located in Europe?",Yes/No
985,"Is the sun a planet?",Yes/No
986,"Is gold a type of metal?",Yes/No
987,"Is the Pacific Ocean the smallest ocean on Earth?",Yes/No
988,"Is the currency in France the dollar?",Yes/No
989,"Is a banana a type of vegetable?",Yes/No
990,"Is the Sahara Desert the largest desert in the world?",Yes/No
991,"Is a lion a type of herbivore?",Yes/No
992,"Is Jupiter the closest planet to the sun?",Yes/No
993,"Is Mount Everest the tallest mountain on Earth?",Yes/No
994,"Is the currency in Japan the yen?",Yes/No
995,"Is a square also a triangle?",Yes/No
996,"Is oxygen a type of gas?",Yes/No
997,"Is the currency in Russia the pound?",Yes/No
998,"Is the speed of light faster than the speed of sound?",Yes/No
999,"Is a dog a type of reptile?",Yes/No
1000,"Is the Earth the only planet in the solar system?",Yes/No
1001,"What is the capital of France?",Entity
1002,"Who painted the Mona Lisa?",Entity
1003,"Which planet is known as the Red Planet?",Entity
1004,"Who wrote 'Romeo and Juliet'?",Entity
1005,"What is the largest mammal in the world?",Entity
1006,"Who founded Microsoft?",Entity
1007,"What is the tallest mountain on Earth?",Entity
1008,"Who discovered penicillin?",Entity
1009,"What is the currency of Japan?",Entity
1010,"Who composed the 'Symphony No. 9'?",Entity
1011,"What is the largest continent?",Entity
1012,"Who is the author of '1984'?",Entity
1013,"What is the largest desert in the world?",Entity
1014,"Who invented the telephone?",Entity
1015,"What is the smallest country in the world?",Entity
1016,"Who painted 'Starry Night'?",Entity
1017,"What is the most widely spoken language?",Entity
1018,"Who was the first woman in space?",Entity
1019,"What is the largest ocean on Earth?",Entity
1020,"Who wrote 'To Kill a Mockingbird'?",Entity
1021,"What is the national animal of Australia?",Entity
1022,"Who founded Amazon?",Entity
1023,"What is the longest river in the world?",Entity
1024,"Who is credited with the theory of relativity?",Entity
1025,"What is the currency of the United Kingdom?",Entity
1026,"Who painted the ceiling of the Sistine Chapel?",Entity
1027,"What is the largest species of big cat?",Entity
1028,"Who invented the lightbulb?",Entity
1029,"What is the largest planet in our solar system?",Entity
1030,"Who is the main author of the Declaration of Independence?",Entity
1031,"What is the highest waterfall in the world?",Entity
1032,"Who is known as the 'Father of Modern Physics'?",Entity
1033,"What is the largest bird in the world?",Entity
1034,"Who discovered America?",Entity
1035,"What is the largest living reptile?",Entity
1036,"Who wrote the play 'Hamlet'?",Entity
1037,"What is the currency of China?",Entity
1038,"Who is the founder of SpaceX?",Entity
1039,"What is the longest bone in the human body?",Entity
1040,"Who composed 'The Marriage of Figaro'?",Entity
1041,"What is the smallest ocean on Earth?",Entity
1042,"Who is known for the theory of natural selection?",Entity
1043,"What is the largest island in the world?",Entity
1044,"Who is the lead singer of the band Queen?",Entity
1045,"What is the largest flower in the world?",Entity
1046,"Who painted 'The Last Supper'?",Entity
1047,"What is the currency of Russia?",Entity
1048,"Who is known as the 'Father of Medicine'?",Entity
1049,"What is the tallest animal on Earth?",Entity
1050,"Who wrote 'The Catcher in the Rye'?",Entity
1051,"What is the national flower of Japan?",Entity
1052,"Who is the founder of Apple Inc.?",Entity
1053,"What is the largest moon of Jupiter?",Entity
1054,"Who is known for the discovery of gravity?",Entity
1055,"What is the currency of Brazil?",Entity
1056,"Who wrote the novel 'Pride and Prejudice'?",Entity
1057,"What is the largest species of bear?",Entity
1058,"Who painted the 'Birth of Venus'?",Entity
1059,"What is the national animal of Canada?",Entity
1060,"Who invented the printing press?",Entity
1061,"What is the largest mammal in the ocean?",Entity
1062,"Who composed the 'Moonlight Sonata'?",Entity
1063,"What is the currency of India?",Entity
1064,"Who is the first female Prime Minister of the UK?",Entity
1065,"What is the largest canyon in the world?",Entity
1066,"Who is known for the discovery of penicillin?",Entity
1067,"What is the national bird of the United States?",Entity
1068,"Who founded Facebook?",Entity
1069,"What is the largest living primate?",Entity
1070,"Who wrote 'The Great Gatsby'?",Entity
1071,"What is the national flower of France?",Entity
1072,"Who founded Microsoft?",Entity
1073,"What is the largest lake in the world?",Entity
1074,"Who is known as the 'Father of Modern Chemistry'?",Entity
1075,"What is the currency of Australia?",Entity
1076,"Who composed 'The Four Seasons'?",Entity
1077,"What is the largest island country?",Entity
1078,"Who is the lead guitarist of the band Led Zeppelin?",Entity
1079,"What is the national animal of Australia?",Entity
1080,"Who wrote 'The Lord of the Rings'?",Entity
1081,"What is the national flower of Germany?",Entity
1082,"Who is the founder of Twitter?",Entity
1083,"What is the longest river in Australia?",Entity
1084,"Who is known as the 'Father of Electricity'?",Entity
1085,"What is the currency of Canada?",Entity
1086,"Who composed the 'Brandenburg Concertos'?",Entity
1087,"What is the largest island in the Mediterranean Sea?",Entity
1088,"Who is the main author of 'The Federalist Papers'?",Entity
1089,"What is the currency of Switzerland?",Entity
1090,"Who painted 'The Creation of Adam'?",Entity
1091,"What is the national animal of China?",Entity
1092,"Who wrote 'War and Peace'?",Entity
1093,"What is the tallest tree species on Earth?",Entity
1094,"Who is known as the 'Father of the Atomic Bomb'?",Entity
1095,"What is the currency of South Africa?",Entity
1096,"Who composed 'Rhapsody in Blue'?",Entity
1097,"What is the largest river in South America?",Entity
1098,"Who is credited with the theory of general relativity?",Entity
1099,"What is the currency of South Korea?",Entity
1100,"Who painted the 'Mona Lisa'?",Entity
1101,"What is the national flower of Japan?",Entity
1102,"Who is the founder of Apple Inc.?",Entity
1103,"What is the largest moon of Jupiter?",Entity
1104,"Who is known for the discovery of gravity?",Entity
1105,"What is the currency of Brazil?",Entity
1106,"Who wrote the novel 'Pride and Prejudice'?",Entity
1107,"What is the largest species of bear?",Entity
1108,"Who painted the 'Birth of Venus'?",Entity
1109,"What is the national animal of Canada?",Entity
1110,"Who invented the printing press?",Entity
1111,"What is the largest mammal in the ocean?",Entity
1112,"Who composed the 'Moonlight Sonata'?",Entity
1113,"What is the currency of India?",Entity
1114,"Who is the first female Prime Minister of the UK?",Entity
1115,"What is the largest canyon in the world?",Entity
1116,"Who is known for the discovery of penicillin?",Entity
1117,"What is the national bird of the United States?",Entity
1118,"Who founded Facebook?",Entity
1119,"What is the largest living primate?",Entity
1120,"Who wrote 'The Great Gatsby'?",Entity
1121,"What is the national flower of France?",Entity
1122,"Who founded Microsoft?",Entity
1123,"What is the largest lake in the world?",Entity
1124,"Who is known as the 'Father of Modern Chemistry'?",Entity
1125,"What is the currency of Australia?",Entity
1126,"Who composed 'The Four Seasons'?",Entity
1127,"What is the largest island country?",Entity
1128,"Who is the lead guitarist of the band Led Zeppelin?",Entity
1129,"What is the national animal of Australia?",Entity
1130,"Who wrote 'The Lord of the Rings'?",Entity
1131,"What is the national flower of Germany?",Entity
1132,"Who is the founder of Twitter?",Entity
1133,"What is the longest river in Australia?",Entity
1134,"Who is known as the 'Father of Electricity'?",Entity
1135,"What is the currency of Canada?",Entity
1136,"Who composed the 'Brandenburg Concertos'?",Entity
1137,"What is the largest island in the Mediterranean Sea?",Entity
1138,"Who is the main author of 'The Federalist Papers'?",Entity
1139,"What is the currency of Switzerland?",Entity
1140,"Who painted 'The Creation of Adam'?",Entity
1141,"What is the national animal of China?",Entity
1142,"Who wrote 'War and Peace'?",Entity
1143,"What is the tallest tree species on Earth?",Entity
1144,"Who is known as the 'Father of the Atomic Bomb'?",Entity
1145,"What is the currency of South Africa?",Entity
1146,"Who composed 'Rhapsody in Blue'?",Entity
1147,"What is the largest river in South America?",Entity
1148,"Who is credited with the theory of general relativity?",Entity
1149,"What is the currency of South Korea?",Entity
1150,"Who painted the 'Mona Lisa'?",Entity
1151,"What is the national flower of Japan?",Entity
1152,"Who is the founder of Apple Inc.?",Entity
1153,"What is the largest moon of Jupiter?",Entity
1154,"Who is known for the discovery of gravity?",Entity
1155,"What is the currency of Brazil?",Entity
1156,"Who wrote the novel 'Pride and Prejudice'?",Entity
1157,"What is the largest species of bear?",Entity
1158,"Who painted the 'Birth of Venus'?",Entity
1159,"What is the national animal of Canada?",Entity
1160,"Who invented the printing press?",Entity
